bench,variant,seed,mAP50,mAP50_95,mAP50_head,mAP50_tail,precision,recall,train_minutes
insplad,baseline,0,89.2940,73.3149,97.2345,76.9930,89.6590,86.2136,37.6
insplad,baseline,1,89.1336,71.9501,97.2068,76.6277,89.5790,85.0701,41.4
insplad,baseline,2,89.8438,72.9304,97.1766,78.3839,88.7149,87.4730,36.8
insplad,sppf,0,87.5727,70.4018,97.0554,73.0205,86.8214,84.1976,42.9
insplad,sppf,1,87.0462,70.5071,97.1565,71.6224,89.4446,83.3035,44.3
insplad,sppf,2,87.2807,70.6418,97.1474,72.1941,86.3208,84.9219,38.3
insplad,lka,0,87.9040,71.8982,96.8151,74.0414,87.6318,85.3563,48.3
insplad,lka,1,86.5488,69.6202,97.0560,70.5049,87.3659,81.1640,55.1
insplad,lka,2,90.1060,73.1311,97.4021,78.8059,90.2253,85.2637,40.5
insplad,deform,0,89.2481,72.4842,97.0810,77.0376,86.3778,86.9122,52.2
insplad,deform,1,88.2265,71.6812,96.8567,74.7769,89.4218,84.6330,56.9
insplad,deform,2,89.7014,73.3991,97.2750,77.9392,89.4838,85.1466,45.3
insplad,dlka,0,89.2292,72.1000,97.0225,77.0621,88.7160,85.7523,54.7
insplad,dlka,1,89.5227,72.0089,96.8880,77.9030,91.3379,84.7795,50.8
insplad,dlka,2,88.5544,71.8774,97.1847,75.2470,88.2789,85.3269,50.0
insplad,maff,0,88.9355,72.3577,97.2725,76.0804,89.0506,84.4416,45.1
insplad,maff,1,88.9341,72.4007,97.1698,76.1832,88.4338,85.9936,44.1
insplad,maff,2,89.7492,73.0560,97.2511,78.0881,91.6963,85.8138,40.5
insplad,cwsl,0,88.1458,72.6127,97.1665,74.2784,88.4362,84.6724,43.9
insplad,cwsl,1,88.3916,71.9766,96.9997,75.0441,88.0299,84.9994,38.7
insplad,cwsl,2,89.5966,72.4034,96.8627,78.0995,88.5625,85.1765,38.8
insplad,madnet,0,89.2709,72.9838,96.8664,77.3161,89.7503,83.6303,65.6
insplad,madnet,1,89.1832,72.6524,96.8481,77.1084,89.4847,84.2477,55.3
insplad,madnet,2,88.8446,72.0171,96.8639,76.2802,89.1566,84.3269,55.6
cplid,baseline,0,97.7976,81.7191,,,95.6929,98.1061,14.1
cplid,baseline,1,97.6322,82.2898,,,97.1302,97.3485,12.0
cplid,baseline,2,98.6958,82.8251,,,97.1931,97.0824,12.1
cplid,sppf,0,98.3892,80.7924,,,97.1047,98.1061,15.0
cplid,sppf,1,98.1414,81.5445,,,96.3291,98.0957,12.9
cplid,sppf,2,98.0340,82.1270,,,97.3867,98.4848,12.9
cplid,lka,0,98.7085,82.6747,,,96.9717,98.1061,15.9
cplid,lka,1,98.3315,82.3406,,,96.1858,98.8636,13.5
cplid,lka,2,98.8754,82.6957,,,97.2726,98.1061,13.5
cplid,deform,0,98.5110,81.8738,,,97.0501,98.0061,17.5
cplid,deform,1,98.5708,81.6049,,,94.3460,98.4848,14.8
cplid,deform,2,98.3586,81.1197,,,96.1041,98.4193,14.7
cplid,dlka,0,98.5740,81.3217,,,96.5881,96.9697,19.5
cplid,dlka,1,97.8880,80.3130,,,96.2967,97.0971,16.1
cplid,dlka,2,97.9977,80.9019,,,96.6128,98.7945,16.1
cplid,maff,0,98.1532,81.8057,,,96.6746,97.3485,15.7
cplid,maff,1,98.4562,82.9005,,,97.1784,98.0983,13.4
cplid,maff,2,97.5075,80.2031,,,96.8585,97.2243,13.4
cplid,madnet,0,98.2996,82.0971,,,96.7947,97.0741,21.0
cplid,madnet,1,98.1543,80.6890,,,96.4831,97.3485,17.0
cplid,madnet,2,97.9499,80.9930,,,95.7061,98.1061,17.0
